Pass,ImageQuality_Correlation_Image_QC_16,ImageQuality_Correlation_Image_QC_30,ImageQuality_Correlation_Image_QC_60,ImageQuality_FocusScore_Image_QC,ImageQuality_LocalFocusScore_Image_QC_16,ImageQuality_LocalFocusScore_Image_QC_30,ImageQuality_LocalFocusScore_Image_QC_60,ImageQuality_MADIntensity_Image_QC,ImageQuality_MaxIntensity_Image_QC,ImageQuality_MeanIntensity_Image_QC,ImageQuality_MedianIntensity_Image_QC,ImageQuality_MinIntensity_Image_QC,ImageQuality_PercentMaximal_Image_QC,ImageQuality_PercentMinimal_Image_QC,ImageQuality_PowerLogLogSlope_Image_QC,ImageQuality_Scaling_Image_QC,ImageQuality_StdIntensity_Image_QC,ImageQuality_ThresholdOtsu_Image_QC_2W,ImageQuality_TotalArea_Image_QC,ImageQuality_TotalIntensity_Image_QC
0,0.5017706253262790,0.37143948135844500,0.32862211285571400,0.020501887550959800,0.010419566833678300,0.008475516503287750,0.004910220761782900,0.018371865,0.30658427,0.0366504668119023,0.033020522,0.0,1.74160150987098E-06,0.038207253923549500,-2.256047177934230,65535,0.027411744,0.015404816028898100,57418416,2104411.8
0,0.24950721905686500,0.13939064250387600,0.10414380665964400,0.02364215075005540,0.06334547283728740,0.03917973736430340,0.016705353181153900,0.0053101396,0.31213856,0.018392254883521900,0.009582666,0.0,1.74436103026288E-06,0.034576724341870900,-2.1184127897673200,65535,0.020852637,0.01370093677240190,57327582,1054383.5
1,0.09952998501960440,0.03233889818621520,0.0110710699078209,0.005122589843709200,0.045762037184276600,0.04862678738764330,0.030980322748232600,0.0017700465,0.28912795,0.007808496899345060,0.0058594644,0.0,1.74343955029581E-06,0.060258501176874,-1.828301081352120,65535,0.006324534,0.007904113721440040,57357882,447878.84
1,0.30569570697926600,0.25149346597199400,0.18940809185409200,0.005389447982387720,0.03716145099143980,0.03832442220804610,0.022802653312661700,0.0015869383,0.30969712,0.0077447418110762100,0.005676356,0.0,1.74390114173208E-06,0.051000388889954600,-1.708099412034180,65535,0.006460641,0.008056531294808800,57342700,444104.4
0,0.1526511488606160,0.08392870997609590,0.06510634089202410,0.025094156783323100,0.11492964752156600,0.06520694501876730,0.024052249315734500,0.0043945983,0.35663387,0.016516913692734100,0.008789197,0.0,1.7448218920709E-06,0.041741374124012200,-1.9462496012749700,65535,0.020358734,0.013426692353659800,57312440,946624.6
0,0.5105663465250320,0.4282303778568500,0.3918214588561680,0.02593136044751840,0.020618792400198100,0.015988222956105300,0.008935043550615390,0.022400245,0.34473184,0.03570455521206980,0.02978561,0.0,1.74482268361615E-06,0.03816974102678700,-2.152280120050680,65535,0.030428074,0.017269329392252700,57312414,2046314.2
1,0.04551238120430670,0.033907225789283200,0.02242403365857920,0.031906862785423900,0.3796495454964040,0.18919228332736300,0.04866106410203660,0.0025024796,0.43646905,0.013420516892917800,0.0067750057,0.0,1.74320924124029E-06,0.057048265628829600,-1.4900937957668300,65535,0.020693153,0.013029454553336200,57365460,769874.1
1,0.3499054986006820,0.3321602632877450,0.3029900259883390,0.025519343846271400,0.4239869604218940,0.3161847026782680,0.144112910221236,0.0017090105,0.41339743,0.009874921515329850,0.0058594644,0.0,1.74182972558884E-06,0.04456645535891590,-1.6079464771208100,65535,0.015874555,0.010283450673604600,57410893,566928.06
0,0.42560356278185100,0.34754052111583400,0.3196311908496060,0.02646746998962410,0.01908438641462560,0.013303874548728900,0.007147679336186670,0.022766463,0.33197528,0.03899079577676510,0.03356985,0.0,1.73884405472699E-06,0.040968904773422500,-1.9596660667529400,65535,0.032124564,0.016840540997305000,57509470,2242340.0
1,0.13862119030031200,0.12126116990424000,0.11718881967129900,0.04182057551853540,0.030753907570089900,0.020361786341684800,0.01045815524779880,0.019897765,0.52637523,0.03802421883909230,0.025635157,0.0,1.73838549880538E-06,0.06273659426638740,-1.2622102910833300,65535,0.039877247,0.01888768786952160,57524640,2187329.5
1,0.10051818530089600,0.09456892210581000,0.08265161995009640,0.04369728452235080,0.05364288724564750,0.033225980816993200,0.012848255596714800,0.0081178,0.4659495,0.02608586834176880,0.012512398,0.0,1.73930327615513E-06,0.038502956624246100,-1.2747252433146600,65535,0.033762135,0.016905233481088900,57494286,1499788.4
1,0.06302749105678900,0.05905246842226000,0.04936922590322360,0.037504640371792300,0.31877930520791000,0.12421352482083900,0.02996020130101510,0.0031128405,0.41522852,0.015762582588262700,0.0073243305,0.0,1.73976243752687E-06,0.04491022756231860,-1.3548284691654100,65535,0.024313988,0.013578850849500500,57479112,906019.25
1,0.15999887469354300,0.1326727510969180,0.12123155468484000,0.03298308513354380,0.025824784668236500,0.016939209578498000,0.008522403999654120,0.018249791,0.39722285,0.03460083790905050,0.025146868,0.0,1.74252183684803E-06,0.06094992880927040,-1.4698944423357800,65535,0.03378228,0.01772885854906860,57388090,1985676.0
1,0.041684076885025300,0.05349982849038810,0.04112977749476640,0.04392529584303280,0.06198294557368710,0.03594983981401750,0.012611487873566600,0.0067750057,0.47687495,0.024368548125813400,0.011352712,0.0,1.74367025465764E-06,0.06384448637428930,-1.2880455790367800,65535,0.032716904,0.017576700954197600,57350293,1397543.4
1,0.037378023078261500,0.03940128703761830,0.023487646888543100,0.03621650865362060,0.27828500122607600,0.10732204210317100,0.023956040596997800,0.0029297322,0.41229877,0.01511303288338810,0.0072022583,0.0,1.74528604348157E-06,0.051360277687575600,-1.390563512065580,65535,0.023395326,0.013669904681672300,57297198,865934.44
1,0.09741065604724710,0.08613401983767570,0.07461577454060030,0.03745428988593010,0.07754749372014910,0.04111519050426120,0.014907998305594500,0.006347753,0.44037536,0.022779410178948000,0.010742351,0.0,1.74597697223987E-06,0.034970172776992400,-1.451500951934290,65535,0.029209359,0.015776382169584100,57274524,1304679.9
1,0.10348962446667600,0.08192655771831890,0.0737742041346544,0.030710935701168000,0.025074103707484700,0.015874903705679500,0.008118735469218770,0.017090105,0.4732738,0.033846769132466200,0.025329977,0.0,1.7450551549985E-06,0.035459520749569600,-1.501483337337250,65535,0.032240752,0.01690523348392300,57304779,1939581.6
1,0.15207147168493300,0.11796784712534400,0.10251353635379600,0.0296042164221583,0.028680591004383800,0.01804586050035440,0.00932724700976628,0.015930418,0.431281,0.030913452748396900,0.022217136,0.0,1.74459298296789E-06,0.03805480673747850,-1.6386002672480200,65535,0.030251753,0.01660002311790430,57319960,1771957.9
1,0.043250523165186400,0.046463316956819900,0.03448275860021030,0.03863529801873080,0.16705986336560700,0.06794167175420970,0.02087923267522010,0.0033569848,0.45270467,0.01699611302083770,0.007568475,0.0,1.74298136264889E-06,0.04416889071088540,-1.3144811815497600,65535,0.025625182,0.014311366202986600,57372960,975117.3
1,0.04131392254523540,0.013586175532506200,0.0054016428246798400,0.006312706451246650,0.14990292777217500,0.13463686432441000,0.07208532416033060,0.0010376135,0.27881286,0.006762090336631640,0.0050659953,0.0,1.74528330206484E-06,0.04457104496813180,-1.4832827888288000,65535,0.0065335357,0.0076594820647317700,57297288,387449.44
0,0.23122367958218100,0.11654372797334700,0.055564608901218500,0.001824464930261620,0.006995583720459520,0.004354381012765490,0.0020212167209548000,0.00073243305,0.09662013,0.005750120465972110,0.0046387427,0.0,1.74297868922704E-06,0.054213609149717800,-1.3707697921565100,65535,0.0032389648,0.006804909185312400,57373048,329901.94
1,0.06321195777337400,0.03349195566218520,0.024212173349470800,0.005864385671657,0.0935774754777653,0.057760193432999700,0.02978677763997990,0.0013427939,0.25799954,0.0074593059701806900,0.005432212,0.0,1.74067997295819E-06,0.0477346668984324,-1.4463228414394100,65535,0.0066139433,0.008514042907547370,57448814,428528.28
0,0.08965803991644290,0.03754628765941240,0.01448497169924570,0.0029536051003921200,0.018334785259797100,0.01444851863825390,0.005613625926262640,0.0009155413,0.24603647,0.00638663652587704,0.004882887,0.0,1.73976159003075E-06,0.044558773843867500,-1.471929954046900,65535,0.0043432247,0.007446152725489670,57479140,367098.38
1,0.0252113313099066,0.015417436806188700,0.007588373362320620,0.015561052734324900,0.39013034469289100,0.20196243204240100,0.08680342774511240,0.0016479744,0.37476158,0.009046316138434170,0.0059205005,0.0,1.7406797911602E-06,0.03851254037941950,-1.3357232728771300,65535,0.011864662,0.009856147156410560,57448820,519700.2
1,0.12231252648763600,0.1145997670622030,0.10056537159634500,0.03882975841288280,0.040866690818506500,0.02377207158510110,0.0113146044989569,0.009033341,0.46045625,0.027379688065162900,0.013550011,0.0,1.74113919464164E-06,0.025537288567808900,-1.3454073779321500,65535,0.03260593,0.017271488482063800,57433662,1572515.8
